!x(deg/Myr) y(deg/Myr) z(deg/Myr)
1.01887e+00 5.47623e-01 1.03784e+00
8.15838e-01 4.15936e-01 8.38342e-01
9.93768e-01 5.25410e-01 1.00269e+00
1.05439e+00 5.65468e-01 1.08198e+00
1.15812e+00 6.35365e-01 1.15332e+00
1.22482e+00 6.95992e-01 1.24094e+00
1.28369e+00 7.17067e-01 1.29415e+00
9.87266e-01 5.25323e-01 9.85307e-01
1.01739e+00 5.50132e-01 1.02423e+00
1.28435e+00 7.26119e-01 1.29058e+00
1.00700e+00 5.37023e-01 1.00926e+00
8.48683e-01 4.34482e-01 8.85410e-01
1.17538e+00 6.48788e-01 1.17788e+00
1.02681e+00 5.53881e-01 1.04127e+00
1.12279e+00 6.19471e-01 1.14185e+00
1.32293e+00 7.44562e-01 1.33451e+00
1.02258e+00 5.45923e-01 1.02738e+00
1.31858e+00 7.44757e-01 1.33149e+00
9.23141e-01 4.81374e-01 9.43319e-01
1.00456e+00 5.28293e-01 1.02725e+00
1.18706e+00 6.47314e-01 1.20066e+00
1.17043e+00 6.34664e-01 1.18578e+00
1.36971e+00 7.72597e-01 1.36794e+00
7.42977e-01 3.67677e-01 7.59599e-01
1.15051e+00 6.23460e-01 1.15674e+00
1.45640e+00 8.30246e-01 1.45486e+00
1.04156e+00 5.56714e-01 1.06985e+00
1.20862e+00 6.77572e-01 1.23025e+00
1.12506e+00 6.02384e-01 1.12636e+00
9.68477e-01 5.20943e-01 9.88102e-01
1.01857e+00 5.38128e-01 1.02649e+00
1.04328e+00 5.66500e-01 1.06669e+00
1.01294e+00 5.39374e-01 1.02858e+00
1.46373e+00 8.30719e-01 1.47347e+00
1.11614e+00 6.03884e-01 1.13284e+00
9.48406e-01 5.00337e-01 9.59526e-01
1.04348e+00 5.68886e-01 1.05890e+00
1.33371e+00 7.36203e-01 1.34639e+00
1.09172e+00 5.84156e-01 1.10993e+00
1.12702e+00 6.13214e-01 1.14336e+00
1.07440e+00 5.94975e-01 1.10792e+00
1.33650e+00 7.40449e-01 1.34252e+00
1.25546e+00 6.94042e-01 1.25337e+00
1.16416e+00 6.32101e-01 1.17032e+00
1.19363e+00 6.60116e-01 1.20666e+00
1.02910e+00 5.55937e-01 1.02993e+00
1.16460e+00 6.45419e-01 1.17975e+00
1.32318e+00 7.48956e-01 1.34546e+00
8.31374e-01 4.22683e-01 8.49135e-01
1.27937e+00 7.19501e-01 1.29195e+00
9.99478e-01 5.21055e-01 1.01107e+00
1.06243e+00 5.74677e-01 1.08540e+00
1.16317e+00 6.49996e-01 1.18026e+00
1.07710e+00 5.72918e-01 1.09351e+00
8.72519e-01 4.52732e-01 8.84103e-01
1.16228e+00 6.52044e-01 1.16839e+00
9.54470e-01 5.01217e-01 9.75053e-01
8.05089e-01 4.00662e-01 8.08989e-01
1.31903e+00 7.42311e-01 1.32784e+00
1.18876e+00 6.71297e-01 1.20301e+00
7.24163e-01 3.38363e-01 7.28550e-01
9.05016e-01 4.72260e-01 9.18259e-01
1.39798e+00 8.00288e-01 1.41462e+00
1.22859e+00 6.76865e-01 1.23864e+00
1.02979e+00 5.64043e-01 1.03718e+00
8.89927e-01 4.54459e-01 9.01538e-01
1.27773e+00 7.24798e-01 1.29193e+00
1.05805e+00 5.66892e-01 1.06362e+00
1.08376e+00 5.89600e-01 1.09174e+00
9.45833e-01 5.04457e-01 9.65169e-01
1.02134e+00 5.51192e-01 1.03399e+00
1.16245e+00 6.44341e-01 1.15987e+00
7.23915e-01 3.49634e-01 7.52551e-01
1.13876e+00 6.35475e-01 1.16238e+00
1.10618e+00 6.30742e-01 1.13416e+00
9.47401e-01 5.00146e-01 9.79793e-01
1.02372e+00 5.68478e-01 1.05455e+00
1.25585e+00 6.84669e-01 1.25679e+00
1.15223e+00 6.19156e-01 1.16993e+00
9.82641e-01 5.30505e-01 9.97321e-01
8.57646e-01 4.28578e-01 8.72829e-01
1.04587e+00 5.69678e-01 1.06762e+00
1.16914e+00 6.34737e-01 1.17253e+00
1.11294e+00 6.13580e-01 1.12156e+00
8.30546e-01 4.27407e-01 8.65814e-01
1.15714e+00 6.35451e-01 1.17571e+00
9.57369e-01 4.94614e-01 9.70113e-01
1.07955e+00 5.78564e-01 1.07531e+00
9.52917e-01 4.86945e-01 9.55647e-01
9.24060e-01 4.90959e-01 9.55038e-01
1.41699e+00 8.23935e-01 1.43903e+00
8.05790e-01 4.09615e-01 8.30535e-01
1.33509e+00 7.60548e-01 1.34286e+00
9.66586e-01 5.12869e-01 9.81439e-01
1.55991e+00 9.01248e-01 1.55102e+00
1.11397e+00 6.09757e-01 1.13004e+00
1.04240e+00 5.59211e-01 1.05539e+00
9.37902e-01 5.01036e-01 9.52956e-01
1.12673e+00 6.15043e-01 1.13923e+00
