1,Indeterminate,Indeterminate,Indeterminate
2,-34.7816,54.2862,0.238802
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
7110,26.5749,0.680887,0.177695
7111,26.5749,0.680887,0.177695
7112,26.5749,0.680887,0.177695
7113,26.5749,0.680887,0.177695
7114,26.5749,0.680887,0.177695
7115,26.5749,0.680887,0.177695
7116,26.5749,0.680887,0.177695
7117,26.5749,0.680887,0.177695
7118,26.5749,0.680887,0.177695
7119,26.5749,0.680887,0.177695
7120,26.5749,0.680887,0.177695
7121,26.5749,0.680887,0.177695
7122,26.5749,0.680887,0.177695
7123,26.5749,0.680887,0.177695
7124,26.5749,0.680887,0.177695
7125,26.5749,0.680887,0.177695
7126,26.5749,0.680887,0.177695
7127,26.5749,0.680887,0.177695
7128,26.5749,0.680887,0.177695
7129,26.5749,0.680887,0.177695
7130,-18.5149,-56.7109,0.343656
7131,-16.753,-82.7043,0.680724
7132,23.7621,4.82294,0.163344
7133,-16.7755,-82.3598,0.681703
7134,-16.7755,-82.3598,0.681703
7135,-16.7755,-82.3598,0.681703
7136,16.4239,2.51117,0.228424
7137,16.4239,2.51117,0.228424
7138,16.4239,2.51117,0.228424
7139,16.4239,2.51117,0.228424
7140,-5.61804,-71.4493,0.450387
7141,-5.61804,-71.4493,0.450387
7142,29.1791,12.3558,0.574335
7143,-5.61804,-71.4493,0.450387
7144,-16.7755,-82.3598,0.681703
7145,-16.7755,-82.3598,0.681703
7146,-16.7755,-82.3598,0.681703
7147,29.1791,12.3558,0.574335
7148,25.6594,21.2834,0.485771
7149,-16.7755,-82.3598,0.681703
7150,-16.7755,-82.3598,0.681703
7151,-16.7755,-82.3598,0.681703
7152,29.1791,12.3558,0.574335
7153,-16.7755,-82.3598,0.681703
7154,16.4239,2.51117,0.228424
7155,16.4239,2.51117,0.228424
7156,16.4239,2.51117,0.228424
7157,29.309,14.3416,0.541104
7158,29.4911,25.4129,0.415365
7159,16.4239,2.51117,0.228424
7160,16.4239,2.51117,0.228424
7161,16.4239,2.51117,0.228424
7162,29.3137,25.0617,0.407098
7163,29.3137,25.0617,0.407098
7164,16.4239,2.51117,0.228424
